VariantID	GeneID
1	66
2	9284
3	22997
6	17001
7	2459
8	83
9	4329
10	10971
12	22997
16	3239
17	1003
18	2179
19	6852
21	23640
22	8389
23	15620
24	4326
	
	
27	23280
28	13629
29	2193
30	18800
31	3946
	
	
	
33	3946
34	19443
35	20264
36	2285
37	6838
	
	
40	7655
42	4326
43	13221
44	6975
	
	
46	6975
47	6568
48	19197
49	13960
50	6328
51	6975
52	5096
53	9564
54	4705
55	2997
56	7582
57	8521
58	9223
59	21260
61	62
62	11157
63	19426
64	5709
65	18776
66	4731
67	5709
68	15805
69	12824
70	22500
71	20387
72	5646
73	13290
74	38
	
	
	
76	18558
77	20908
78	10538
80	13049
81	7579
83	1340
84	9286
85	6904
86	1327
	
	
88	19152
89	16156
90	20806
91	4138
92	16438
94	7171
95	15089
96	7171
97	48
98	8397
99	16112
100	24519
101	9115
102	7591
103	7171
104	10239
105	48
107	7171
108	7904
109	7171
110	5342
	
	
112	48
	
	
114	48
	
	
116	3710
117	48
118	48
119	4351
120	9112
121	7195
122	16760
123	16760
124	2285
125	12762
126	4346
127	20746
128	24233
129	15620
131	23946
132	2283
133	10701
134	13037
135	15620
136	20754
137	23988
138	20754
139	940
140	19443
141	13959
	
	
	
	
144	19444
145	4346
146	7133
	
	
148	21367
149	22980
150	22980
151	2452
152	20764
	
	
	
	
	
	
	
	
	
	
	
154	20764
155	431
156	431
157	431
158	431
159	431
160	18247
161	18247
162	18247
163	15620
164	23280
165	7171
166	2352
	
	
168	580
169	18290
170	15203
171	3349
172	3349
173	3349
174	19487
175	3584
	
	
	
	
	
177	1179
178	8077
179	10523
180	48
181	3677
182	13962
183	6166
184	1661
	
	
186	7087
187	13730
188	8289
189	8092
190	19302
191	5640
192	5766
193	3893
194	424
195	13629
196	13629
197	13962
198	13962
	
	
	
	
201	20901
202	15304
203	1615
204	9500
205	4327
206	23312
207	23312
208	23312
	
	
210	7166
211	7166
212	2875
213	1586
214	13670
215	9194
216	1160
217	4972
218	9840
219	977
220	23656
221	3644
222	24337
223	13494
224	11283
225	855
226	8016
227	20960
228	20666
229	51
230	18919
231	9115
232	4346
233	1663
234	19177
235	11155
236	13371
237	7532
238	6274
	
	
240	1724
241	23629
243	22010
	
	
245	6821
246	8126
247	10568
248	4351
249	4350
250	5390
252	7582
254	19146
255	16746
256	19146
257	19146
258	19655
259	19303
260	2285
261	12503
262	20806
264	15593
265	2429
266	425
267	64
269	13960
270	23641
271	13609
272	3348
273	5599
	
	
275	11287
