Symbol	Name	PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
A1BG	alpha-1-B glycoprotein	PA24356	1	HGNC:5	ENSG00000121410	chr19	58858172	58864865	58346806	58353499
A1BG-AS1	A1BG antisense RNA 1	PA165392995	503538	HGNC:37133	ENSG00000268895	chr19	58863336	58866549	58351970	58355183
A1CF	APOBEC1 complementation factor	PA162375098	29974	HGNC:24086	ENSG00000148584	chr10	52559169	52645435	50799409	50885681
A2M	alpha-2-macroglobulin	PA24357	2	HGNC:7	ENSG00000175899	chr12	9220304	9268558	9067708	9115962
A2ML1	alpha-2-macroglobulin like 1	PA142670460	144568	HGNC:23336	ENSG00000166535	chr12	8975150	9029381	8822472	8887202
A2MP1	alpha-2-macroglobulin pseudogene 1	PA24358	3	HGNC:8		chr12	9381129	9386803	9228533	9234207
A3GALT2	alpha 1,3-galactosyltransferase 2	PA142670461	127550	HGNC:30005	ENSG00000184389	chr1	33772367	33786699	33306766	33321098
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	PA24359	53947	HGNC:18149	ENSG00000128274	chr22	43088123	43117307	42692115	42721301
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	PA134960042	51146	HGNC:17968	ENSG00000118017	chr3	137842560	137851229	138123718	138133310
AAAS	aladin WD repeat nucleoporin	PA24361	8086	HGNC:13666	ENSG00000094914	chr12	53701240	53715412	53307456	53321628
AACS	acetoacetyl-CoA synthetase	PA134940696	65985	HGNC:21298	ENSG00000081760	chr12	125549925	125627879	125065367	125143333
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	PA134883395	729522	HGNC:18226		chr5	178191862	178203277	178764861	178818435
AADAC	arylacetamide deacetylase	PA24363	13	HGNC:17	ENSG00000114771	chr3	151531769	151546276	151814008	151828488
AADACL2	arylacetamide deacetylase like 2	PA142670463	344752	HGNC:24427	ENSG00000197953	chr3	151451704	151475556	151733916	151758016
AADACL3	arylacetamide deacetylase like 3	PA145147526	126767	HGNC:32037	ENSG00000188984	chr1	12776118	12788726	12716115	12728759
AADACL4	arylacetamide deacetylase like 4	PA145147537	343066	HGNC:32038	ENSG00000204518	chr1	12704566	12727097	12644547	12667086
AADAT	aminoadipate aminotransferase	PA24364	51166	HGNC:17929	ENSG00000109576	chr4	170981373	171012823	170060222	170091699
AAGAB	alpha and gamma adaptin binding protein	PA165478457	79719	HGNC:25662	ENSG00000103591	chr15	67493013	67547536	67200675	67255198
AAK1	AP2 associated kinase 1	PA134990616	22848	HGNC:19679	ENSG00000115977	chr2	69685127	69901566	69457995	69643845
AAMDC	adipogenesis associated Mth938 domain containing	PA144596486	28971	HGNC:30205	ENSG00000087884	chr11	77532147	77583398	77821114	77901281
AAMP	angio associated migratory cell protein	PA24365	14	HGNC:18	ENSG00000127837	chr2	219128852	219134893	218264129	218270209
AANAT	aralkylamine N-acetyltransferase	PA24366	15	HGNC:19	ENSG00000129673	chr17	74449433	74466199	76453351	76470797
AAR2	AAR2 splicing factor	PA25753	25980	HGNC:15886	ENSG00000131043	chr20	34824339	34844863	36236136	36256941
AARD	alanine and arginine rich domain containing protein	PA164717502	441376	HGNC:33842	ENSG00000205002	chr8	117950464	117956239	116937960	116944000
