Source	PAID	Summary	Gene	Drug	GeneID	DrugID	Phenotype	Recommendation	Alternate	Dosing
DPWG	PA166184613	Select an alternative drug or reduce the initial dose of mercaptopurine for patients that are NUDT15 poor metabolizers and reduce initial dose for patients that are NUDT15 intermediate metabolizers.	NUDT15	mercaptopurine	13756	1994	NUDT15 IM	- IMMUNOSUPPRESSION:start with 50% of the standard dose. Adjustment of the initial dose should be performed based on toxicity (monitoring of the blood counts) and efficacy.}{Note: The percentage of 50% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 70% was calculated for NUDT15, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.}{- LEUKAEMIA: start at 50% of the standard mercaptopurine dose, or start with the standard dose and reduce to 50% if side effects necessitate a dose reduction. It is not known whether dose reduction in advance results in the same efficacy as dose reduction based on toxicity. Adjustment of the initial dose should be performed based on toxicity (monitoring of the blood counts) and efficacy. Monitoring should be performed at an increased frequency.}{Note: The percentage of 50% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 70% was calculated for NUDT15, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.}{Note: more stringent dose reductions are necessary if the patient is also TPMT IM or TPMT PM.	0	0
DPWG	PA166184613	Select an alternative drug or reduce the initial dose of mercaptopurine for patients that are NUDT15 poor metabolizers and reduce initial dose for patients that are NUDT15 intermediate metabolizers.	NUDT15	mercaptopurine	13756	1994	NUDT15 PM	- avoid azathioprine and mercaptopurine.  If it is not possible to avoid azathioprine and mercaptopurine: use 10% of the standard dose and advise patients to seek medical attention when symptoms of myelosuppression (such as severe sore throat in combination with fever, regular nosebleeds and tendency to bruising) occur. Any adjustment of the initial dose should be guided by toxicity (monitoring of blood counts) and efficacy.}{Note: The percentage of 10% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 20% was calculated for NUDT15 PM, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.	0	0
DPWG	PA166184613	Select an alternative drug or reduce the initial dose of mercaptopurine for patients that are NUDT15 poor metabolizers and reduce initial dose for patients that are NUDT15 intermediate metabolizers.	NUDT15	mercaptopurine	13756	1994	NUDT15 IM	- IMMUNOSUPPRESSION:start with 50% of the standard dose. Adjustment of the initial dose should be performed based on toxicity (monitoring of the blood counts) and efficacy. Monitoring should be performed at an increased frequency.}{Note: The percentage of 50% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 70% was calculated for NUDT15, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.}{- LEUKAEMIA: start at 50% of the standard mercaptopurine dose, or start with the standard dose and reduce to 50% if side effects necessitate a dose reduction. It is not known whether dose reduction in advance results in the same efficacy as dose reduction based on toxicity. Adjustment of the initial dose should be performed based on toxicity (monitoring of the blood counts) and efficacy. Monitoring should be performed at an increased frequency.}{Note: The percentage of 50% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 70% was calculated for NUDT15, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.}{Note: more stringent dose reductions are necessary if the patient is also TPMT IM.	0	0
DPWG	PA166184613	Select an alternative drug or reduce the initial dose of mercaptopurine for patients that are NUDT15 poor metabolizers and reduce initial dose for patients that are NUDT15 intermediate metabolizers.	NUDT15	mercaptopurine	13756	1994	NUDT15 PM	- avoid azathioprine and mercaptopurine.  If it is not possible to avoid azathioprine and mercaptopurine: use 10% of the standard dose and advise patients to seek medical attention when symptoms of myelosuppression (such as severe sore throat in combination with fever, regular nosebleeds and tendency to bruising) occur. Any adjustment of the initial dose should be guided by toxicity (monitoring of blood counts) and efficacy. Monitoring should be performed at an increased frequency.}{Note: The percentage of 10% is based on the analogy with TPMT, for which the gene variants have a comparable effect on toxicity to those of NUDT15. A percentage of < 20% was calculated for NUDT15 PM, but there were insufficient data available to calculate the exact percentage.}{Note: Dose adjustment based on the total of 6-TGN metabolites is not possible for these patients, as they develop toxicity within the therapeutic range that applies for patients without gene variants.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	CYP2D6 UM	1. Be extra alert to reduced efficacy of the treatment.}{2. Advise the patient to contact their doctor in the event of inadequate effect.}{3. An alternative can be selected as a precaution. Clonidine is not metabolised by CYP2D6.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	CYP2D6 IM	1. In the event of side effects occurring and/or a response later than 9 weeks: reduce the dose and check whether the effect is conserved. The plasma concentration of atomoxetine is a factor of 2-3 times higher for IM than for EM at the same dose.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	CYP2D6 PM	1. Start with the normal initial dose, bearing in mind that an increase in this dose probably will not be required.}{2. Advise the patient to seek contact if side effects occur (such as decreased appetite, vomiting, abdominal pain, constipation, insomnia, early waking, drowsiness, irritability, pupil dilation and itching).}{3. If the medicine is effective, but side effects occur: reduce the dose and check whether the effect is conserved. The plasma concentration of atomoxetine is a factor of 8-11 times higher for PM than for EM at the same dose.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	PM (two inactive (*3-*8, *11-*16, *19-*21, *38, *40, *42) alleles)	Standard dose. Dose increase probably not necessary; be alert to ADEs.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	IM (two decreased-activity (*9, *10, *17, *29, *36, *41) alleles or carrying one active (*1, *2, *33, *35) and one inactive (*3-*8, *11-*16, *19-*21, *38, *40, *42) allele, or carrying one decreased-activity (*9, *10, *17, *29, *36, *41) allele and one inactive (*3-*8, *11-*16, *19-*21, *38, *40, *42) allele)	No recommendations.	0	0
DPWG	PA166104989	The Dutch Pharmacogenetics Working Group Guideline for atomoxetine states for CYP2D6 ultrarapid metabolizers, to be alert to reduced efficacy of atomoxetine or select an alternative drug as a precaution.  Be alert to ADEs in CYP2D6 poor metabolizers.	CYP2D6	atomoxetine	4352	413	UM (a gene duplication in absence of inactive (*3-*8, *11-*16, *19-*21, *38, *40, *42) or decreased-activity (*9, *10, *17, *29, *36, *41) alleles)	Insufficient data to allow calculation of dose adjustment. Be alert to reduced efficacy or select alternative drug (e.g., methylphenidate, clonidine).	0	0
CPIC	PA166122686	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD	fluorouracil	5039	1390	DPYD Normal Metabolizer	Based on genotype, there is no indication to change dose or therapy. Use label-recommended dosage and administration	0	0
CPIC	PA166122686	The CPIC Dosing Guideline for 5-fluorouracil and capecitabine recommends an alternative drug for patients who are DPYD poor metabolizers with an activity score of 0. In those who are poor metabolizers with an activity score of 0.5, an alternative drug is also recommended, but if this is not considered a suitable therapeutic option, 5-fluorouracil or capecitabine should be administered at a strongly reduced dose with early therapeutic drug monitoring. Patients who are intermediate metabolizers with an activity score of 1 or 1.5 should receive a dose reduction of 50%. Patients with the c.[2846A>T];[2846A>T] genotype may require a >50% dose reduction.	DPYD	fluorouracil	5039	1390	DPYD Intermediate Metabolizer	Reduce starting dose by 50% followed by titration of dose based on toxicity or therapeutic drug monitoring (if available).  Patients with the c.[2846A>T];[2846A>T] genotype may require >50% reduction in starting dose.	0	0
