Gene	Allele1	Allele2	ActivityScore	Phenotype	EHR	ConsultationID
ABCG2	rs2231142 reference (G)	rs2231142 reference (G)		Normal Function	Normal/Routine/Low Risk	2
ABCG2	rs2231142 reference (G)	rs2231142 variant (T)		Decreased Function	Abnormal/Priority/High Risk	1
ABCG2	rs2231142 variant (T)	rs2231142 variant (T)		Poor Function	Abnormal/Priority/High Risk	3
CACNA1S	c.520C>T	c.520C>T		Malignant Hyperthermia Susceptibility	Abnormal/Priority/High Risk	4
CACNA1S	c.520C>T	c.3257G>A		Malignant Hyperthermia Susceptibility	Abnormal/Priority/High Risk	4
CACNA1S	c.520C>T	Reference		Malignant Hyperthermia Susceptibility	Abnormal/Priority/High Risk	4
CACNA1S	c.3257G>A	c.3257G>A		Malignant Hyperthermia Susceptibility	Abnormal/Priority/High Risk	4
CACNA1S	c.3257G>A	Reference		Malignant Hyperthermia Susceptibility	Abnormal/Priority/High Risk	4
CACNA1S	Reference	Reference		Uncertain Susceptibility	Normal Risk	5
CYP2B6	*1	*1		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*2		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*3		Indeterminate	none	6
CYP2B6	*1	*4		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*1	*5		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*6		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*7		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*8		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*9		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*10		Indeterminate	none	6
CYP2B6	*1	*11		Indeterminate	none	6
CYP2B6	*1	*12		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*13		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*14		Indeterminate	none	6
CYP2B6	*1	*15		Indeterminate	none	6
CYP2B6	*1	*17		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*18		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*19		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*20		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*21		Indeterminate	none	6
CYP2B6	*1	*22		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*1	*23		Indeterminate	none	6
CYP2B6	*1	*24		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*25		Indeterminate	none	6
CYP2B6	*1	*26		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*27		Indeterminate	none	6
CYP2B6	*1	*28		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*29		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*30		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*31		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*32		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*1	*33		Indeterminate	none	6
CYP2B6	*1	*34		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*35		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*36		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*37		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*1	*38		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*2		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*2	*3		Indeterminate	none	6
CYP2B6	*2	*4		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*2	*5		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*2	*6		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*7		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*8		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*9		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*10		Indeterminate	none	6
CYP2B6	*2	*11		Indeterminate	none	6
CYP2B6	*2	*12		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*13		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*14		Indeterminate	none	6
CYP2B6	*2	*15		Indeterminate	none	6
CYP2B6	*2	*17		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*2	*18		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*19		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*20		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*21		Indeterminate	none	6
CYP2B6	*2	*22		Rapid Metabolizer	Normal/Routine/Low Risk	10
CYP2B6	*2	*23		Indeterminate	none	6
CYP2B6	*2	*24		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*25		Indeterminate	none	6
CYP2B6	*2	*26		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*27		Indeterminate	none	6
CYP2B6	*2	*28		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*29		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*30		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*31		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*2	*32		Normal Metabolizer	Normal/Routine/Low Risk	8
CYP2B6	*2	*33		Indeterminate	none	6
CYP2B6	*2	*34		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*35		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*36		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*37		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
CYP2B6	*2	*38		Intermediate Metabolizer	Abnormal/Priority/High Risk	7
